Input Seq,2022 NAICS Code,2022 NAICS Title,Change to 2017 Code,2017 NAICS Code,2017 NAICS Title
547,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,No Change,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers 
548,424440,Poultry and Poultry Product Merchant Wholesalers ,No Change,424440,Poultry and Poultry Product Merchant Wholesalers 
549,424450,Confectionery Merchant Wholesalers ,No Change,424450,Confectionery Merchant Wholesalers 
550,424460,Fish and Seafood Merchant Wholesalers ,No Change,424460,Fish and Seafood Merchant Wholesalers 
551,424470,Meat and Meat Product Merchant Wholesalers ,No Change,424470,Meat and Meat Product Merchant Wholesalers 
552,424480,Fresh Fruit and Vegetable Merchant Wholesalers ,No Change,424480,Fresh Fruit and Vegetable Merchant Wholesalers 
553,424490,Other Grocery and Related Products Merchant Wholesalers ,No Change,424490,Other Grocery and Related Products Merchant Wholesalers 
554,424510,Grain and Field Bean Merchant Wholesalers ,No Change,424510,Grain and Field Bean Merchant Wholesalers 
555,424520,Livestock Merchant Wholesalers ,No Change,424520,Livestock Merchant Wholesalers 
556,424590,Other Farm Product Raw Material Merchant Wholesalers ,No Change,424590,Other Farm Product Raw Material Merchant Wholesalers 
557,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers ,No Change,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers 
558,424690,Other Chemical and Allied Products Merchant Wholesalers ,No Change,424690,Other Chemical and Allied Products Merchant Wholesalers 
559,424710,Petroleum Bulk Stations and Terminals ,No Change,424710,Petroleum Bulk Stations and Terminals 
560,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,No Change,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) 
561,424810,Beer and Ale Merchant Wholesalers ,No Change,424810,Beer and Ale Merchant Wholesalers 
562,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,No Change,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers 
563,424910,Farm Supplies Merchant Wholesalers ,No Change,424910,Farm Supplies Merchant Wholesalers 
564,424920,"Book, Periodical, and Newspaper Merchant Wholesalers ",No Change,424920,"Book, Periodical, and Newspaper Merchant Wholesalers "
565,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers ",No Change,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers "
566,424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers ,"Same Code, new title",424940,Tobacco and Tobacco Product Merchant Wholesalers 
567,424950,"Paint, Varnish, and Supplies Merchant Wholesalers ",No Change,424950,"Paint, Varnish, and Supplies Merchant Wholesalers "
568,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,No Change,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers 
544,424350,Clothing and Clothing Accessories Merchant Wholesalers,New NAICS Code,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers "
570,425120,Wholesale Trade Agents and Brokers ,No Change,425120,Wholesale Trade Agents and Brokers 
571,441110,New Car Dealers ,No Change,441110,New Car Dealers 
572,441120,Used Car Dealers ,No Change,441120,Used Car Dealers 
573,441210,Recreational Vehicle Dealers ,No Change,441210,Recreational Vehicle Dealers 
574,441222,Boat Dealers ,No Change,441222,Boat Dealers 
569,425120,Wholesale Trade Agents and Brokers ,New NAICS Code,425110,Business to Business Electronic Markets 
575,441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",New NAICS Code,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers "
576,441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
577,441330,Automotive Parts and Accessories Retailers ,New NAICS Code,441310,Automotive Parts and Accessories Stores 
578,441330,Automotive Parts and Accessories Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
579,441330,Automotive Parts and Accessories Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
580,441340,Tire Dealers ,New NAICS Code,441320,Tire Dealers 
583,444140,Hardware Retailers ,New NAICS Code,444130,Hardware Stores 
584,444140,Hardware Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
581,444110,Home Centers ,No Change,444110,Home Centers 
582,444120,Paint and Wallpaper Retailers ,"Same Code, new title",444120,Paint and Wallpaper Stores 
585,444140,Hardware Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
586,444180,Other Building Material Dealers ,New NAICS Code,444190,Other Building Material Dealers 
587,444180,Other Building Material Dealers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
588,444180,Other Building Material Dealers ,New NAICS Code,454390,Other Direct Selling Establishments 
595,445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers) ,"Same Code, new title",445110,Supermarkets and Other Grocery (except Convenience) Stores 
589,444230,Outdoor Power Equipment Retailers ,New NAICS Code,444210,Outdoor Power Equipment Stores 
590,444230,Outdoor Power Equipment Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
591,444230,Outdoor Power Equipment Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
600,445230,Fruit and Vegetable Retailers ,"Same Code, new title",445230,Fruit and Vegetable Markets 
607,445291,Baked Goods Retailers ,"Same Code, new title",445291,Baked Goods Stores 
608,445292,Confectionery and Nut Retailers ,"Same Code, new title",445292,Confectionery and Nut Stores 
592,444240,"Nursery, Garden Center, and Farm Supply Retailers ",New NAICS Code,444220,"Nursery, Garden Center, and Farm Supply Stores "
593,444240,"Nursery, Garden Center, and Farm Supply Retailers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
594,444240,"Nursery, Garden Center, and Farm Supply Retailers ",New NAICS Code,454390,Other Direct Selling Establishments 
596,445131,Convenience Retailers,New NAICS Code,445120,Convenience Stores 
597,445131,Convenience Retailers,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
598,445131,Convenience Retailers,New NAICS Code,454390,Other Direct Selling Establishments 
599,445132,Vending Machine Operators ,New NAICS Code,454210,Vending Machine Operators 
601,445240,Meat Retailers ,New NAICS Code,445210,Meat Markets 
603,445240,Meat Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
602,445240,Meat Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
604,445250,Fish and Seafood Retailers ,New NAICS Code,445220,Fish and Seafood Markets 
606,445250,Fish and Seafood Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
605,445250,Fish and Seafood Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
609,445298,All Other Specialty Food Retailers ,New NAICS Code,445299,All Other Specialty Food Stores 
610,445298,All Other Specialty Food Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
611,445298,All Other Specialty Food Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
612,445320,"Beer, Wine, and Liquor Retailers ",New NAICS Code,445310,"Beer, Wine, and Liquor Stores "
613,445320,"Beer, Wine, and Liquor Retailers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
614,445320,"Beer, Wine, and Liquor Retailers ",New NAICS Code,454390,Other Direct Selling Establishments 
615,449110,Furniture Retailers ,New NAICS Code,442110,Furniture Stores 
616,449110,Furniture Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
617,449110,Furniture Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
618,449121,Floor Covering Retailers ,New NAICS Code,442210,Floor Covering Stores 
619,449121,Floor Covering Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
620,449121,Floor Covering Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
621,449122,Window Treatment Retailers ,New NAICS Code,442291,Window Treatment Stores 
622,449122,Window Treatment Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
623,449122,Window Treatment Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
624,449129,All Other Home Furnishings Retailers ,New NAICS Code,442299,All Other Home Furnishings Stores 
625,449129,All Other Home Furnishings Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
626,449129,All Other Home Furnishings Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
627,449210,Electronics and Appliance Retailers,New NAICS Code,443141,Household Appliance Stores 
628,449210,Electronics and Appliance Retailers,New NAICS Code,443142,Electronics Stores 
629,449210,Electronics and Appliance Retailers,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
630,449210,Electronics and Appliance Retailers,New NAICS Code,454390,Other Direct Selling Establishments 
631,455110,Department Stores ,New NAICS Code,452210,Department Stores
632,455110,Department Stores ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
633,455211,Warehouse Clubs and Supercenters ,New NAICS Code,452311,Warehouse Clubs and Supercenters 
634,455211,Warehouse Clubs and Supercenters ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
635,455219,All Other General Merchandise Retailers ,New NAICS Code,452319,All Other General Merchandise Stores 
636,455219,All Other General Merchandise Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
637,455219,All Other General Merchandise Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
638,456110,Pharmacies and Drug Retailers ,New NAICS Code,446110,Pharmacies and Drug Stores 
639,456110,Pharmacies and Drug Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
640,456110,Pharmacies and Drug Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
641,456120,"Cosmetics, Beauty Supplies, and Perfume Retailers ",New NAICS Code,446120,"Cosmetics, Beauty Supplies, and Perfume Stores "
642,456120,"Cosmetics, Beauty Supplies, and Perfume Retailers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
643,456120,"Cosmetics, Beauty Supplies, and Perfume Retailers ",New NAICS Code,454390,Other Direct Selling Establishments 
644,456130,Optical Goods Retailers ,New NAICS Code,446130,Optical Goods Stores 
645,456130,Optical Goods Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
646,456130,Optical Goods Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
647,456191,Food (Health) Supplement Retailers ,New NAICS Code,446191,Food (Health) Supplement Stores 
648,456191,Food (Health) Supplement Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
649,456191,Food (Health) Supplement Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
650,456199,All Other Health and Personal Care Retailers ,New NAICS Code,446199,All Other Health and Personal Care Stores 
651,456199,All Other Health and Personal Care Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
652,456199,All Other Health and Personal Care Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
653,457110,Gasoline Stations with Convenience Stores ,New NAICS Code,447110,Gasoline Stations with Convenience Stores 
654,457120,Other Gasoline Stations ,New NAICS Code,447190,Other Gasoline Stations 
655,457210,Fuel Dealers ,New NAICS Code,454310,Fuel Dealers 
656,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,448110,Men's Clothing Stores 
657,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,448120,Women's Clothing Stores 
658,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,448130,Children's and Infants' Clothing Stores 
659,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,448140,Family Clothing Stores 
660,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,448150,Clothing Accessories Stores 
661,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,448190,Other Clothing Stores 
662,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
663,458110,Clothing and Clothing Accessories Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
664,458210,Shoe Retailers ,New NAICS Code,448210,Shoe Stores 
665,458210,Shoe Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
666,458210,Shoe Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
667,458310,Jewelry Retailers ,New NAICS Code,448310,Jewelry Stores 
668,458310,Jewelry Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
669,458310,Jewelry Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
670,458320,Luggage and Leather Goods Retailers ,New NAICS Code,448320,Luggage and Leather Goods Stores 
671,458320,Luggage and Leather Goods Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
672,458320,Luggage and Leather Goods Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
673,459110,Sporting Goods Retailers ,New NAICS Code,451110,Sporting Goods Stores 
674,459110,Sporting Goods Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
675,459110,Sporting Goods Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
676,459120,"Hobby, Toy, and Game Retailers ",New NAICS Code,451120,"Hobby, Toy, and Game Stores "
677,459120,"Hobby, Toy, and Game Retailers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
678,459120,"Hobby, Toy, and Game Retailers ",New NAICS Code,454390,Other Direct Selling Establishments 
679,459130,"Sewing, Needlework, and Piece Goods Retailers ",New NAICS Code,451130,"Sewing, Needlework, and Piece Goods Stores "
680,459130,"Sewing, Needlework, and Piece Goods Retailers ",New NAICS Code,451130,"Sewing, Needlework, and Piece Goods Stores"
681,459130,"Sewing, Needlework, and Piece Goods Retailers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
682,459130,"Sewing, Needlework, and Piece Goods Retailers ",New NAICS Code,454390,Other Direct Selling Establishments 
683,459140,Musical Instrument and Supplies Retailers ,New NAICS Code,451140,Musical Instrument and Supplies Stores 
684,459140,Musical Instrument and Supplies Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
685,459140,Musical Instrument and Supplies Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
686,459210,Book Retailers and News Dealers ,New NAICS Code,451211,Book Stores 
687,459210,Book Retailers and News Dealers ,New NAICS Code,451212,News Dealers and Newsstands 
688,459210,Book Retailers and News Dealers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
689,459210,Book Retailers and News Dealers ,New NAICS Code,454390,Other Direct Selling Establishments 
690,459310,Florists ,New NAICS Code,453110,Florists 
691,459310,Florists ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
692,459310,Florists ,New NAICS Code,454390,Other Direct Selling Establishments 
693,459410,Office Supplies and Stationery Retailers ,New NAICS Code,453210,Office Supplies and Stationery Stores 
694,459410,Office Supplies and Stationery Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
695,459410,Office Supplies and Stationery Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
696,459420,"Gift, Novelty, and Souvenir Retailers ",New NAICS Code,453220,"Gift, Novelty, and Souvenir Stores "
697,459420,"Gift, Novelty, and Souvenir Retailers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
698,459420,"Gift, Novelty, and Souvenir Retailers ",New NAICS Code,454390,Other Direct Selling Establishments 
699,459510,Used Merchandise Retailers ,New NAICS Code,453310,Used Merchandise Stores 
700,459510,Used Merchandise Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
701,459510,Used Merchandise Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
702,459910,Pet and Pet Supplies Retailers ,New NAICS Code,453910,Pet and Pet Supplies Stores 
703,459910,Pet and Pet Supplies Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
704,459910,Pet and Pet Supplies Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
705,459920,Art Dealers ,New NAICS Code,453920,Art Dealers 
706,459920,Art Dealers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
707,459920,Art Dealers ,New NAICS Code,454390,Other Direct Selling Establishments 
708,459930,Manufactured (Mobile) Home Dealers ,New NAICS Code,453930,Manufactured (Mobile) Home Dealers 
709,459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers ",New NAICS Code,453991,Tobacco Stores 
710,459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers ",New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
711,459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers ",New NAICS Code,454390,Other Direct Selling Establishments 
712,459999,All Other Miscellaneous Retailers ,New NAICS Code,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores) 
713,459999,All Other Miscellaneous Retailers ,New NAICS Code,454110,Electronic Shopping and Mail-Order Houses
715,481111,Scheduled Passenger Air Transportation ,No Change,481111,Scheduled Passenger Air Transportation 
716,481112,Scheduled Freight Air Transportation ,No Change,481112,Scheduled Freight Air Transportation 
717,481211,Nonscheduled Chartered Passenger Air Transportation ,No Change,481211,Nonscheduled Chartered Passenger Air Transportation 
718,481212,Nonscheduled Chartered Freight Air Transportation ,No Change,481212,Nonscheduled Chartered Freight Air Transportation 
719,481219,Other Nonscheduled Air Transportation ,No Change,481219,Other Nonscheduled Air Transportation 
720,482111,Line-Haul Railroads ,No Change,482111,Line-Haul Railroads 
721,482112,Short Line Railroads ,No Change,482112,Short Line Railroads 
722,483111,Deep Sea Freight Transportation ,No Change,483111,Deep Sea Freight Transportation 
723,483112,Deep Sea Passenger Transportation ,No Change,483112,Deep Sea Passenger Transportation 
724,483113,Coastal and Great Lakes Freight Transportation ,No Change,483113,Coastal and Great Lakes Freight Transportation 
725,483114,Coastal and Great Lakes Passenger Transportation ,No Change,483114,Coastal and Great Lakes Passenger Transportation 
726,483211,Inland Water Freight Transportation ,No Change,483211,Inland Water Freight Transportation 
727,483212,Inland Water Passenger Transportation ,No Change,483212,Inland Water Passenger Transportation 
728,484110,"General Freight Trucking, Local ",No Change,484110,"General Freight Trucking, Local "
729,484121,"General Freight Trucking, Long-Distance, Truckload ",No Change,484121,"General Freight Trucking, Long-Distance, Truckload "
730,484122,"General Freight Trucking, Long-Distance, Less Than Truckload ",No Change,484122,"General Freight Trucking, Long-Distance, Less Than Truckload "
731,484210,Used Household and Office Goods Moving,No Change,484210,Used Household and Office Goods Moving
732,484220,"Specialized Freight (except Used Goods) Trucking, Local ",No Change,484220,"Specialized Freight (except Used Goods) Trucking, Local "
733,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",No Change,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance "
734,485111,Mixed Mode Transit Systems ,No Change,485111,Mixed Mode Transit Systems 
735,485112,Commuter Rail Systems ,No Change,485112,Commuter Rail Systems 
736,485113,Bus and Other Motor Vehicle Transit Systems ,No Change,485113,Bus and Other Motor Vehicle Transit Systems 
737,485119,Other Urban Transit Systems ,No Change,485119,Other Urban Transit Systems 
738,485210,Interurban and Rural Bus Transportation,No Change,485210,Interurban and Rural Bus Transportation
739,485310,Taxi and Ridesharing Services ,"Same Code, new title",485310,Taxi Service 
740,485320,Limousine Service,No Change,485320,Limousine Service
741,485410,School and Employee Bus Transportation,No Change,485410,School and Employee Bus Transportation
742,485510,Charter Bus Industry,No Change,485510,Charter Bus Industry
743,485991,Special Needs Transportation ,No Change,485991,Special Needs Transportation 
744,485999,All Other Transit and Ground Passenger Transportation ,No Change,485999,All Other Transit and Ground Passenger Transportation 
745,486110,Pipeline Transportation of Crude Oil,No Change,486110,Pipeline Transportation of Crude Oil
746,486210,Pipeline Transportation of Natural Gas,No Change,486210,Pipeline Transportation of Natural Gas
747,486910,Pipeline Transportation of Refined Petroleum Products,No Change,486910,Pipeline Transportation of Refined Petroleum Products
748,486990,All Other Pipeline Transportation,No Change,486990,All Other Pipeline Transportation
749,487110,"Scenic and Sightseeing Transportation, Land",No Change,487110,"Scenic and Sightseeing Transportation, Land"
750,487210,"Scenic and Sightseeing Transportation, Water",No Change,487210,"Scenic and Sightseeing Transportation, Water"
751,487990,"Scenic and Sightseeing Transportation, Other",No Change,487990,"Scenic and Sightseeing Transportation, Other"
752,488111,Air Traffic Control,No Change,488111,Air Traffic Control
753,488119,Other Airport Operations ,No Change,488119,Other Airport Operations 
754,488190,Other Support Activities for Air Transportation,No Change,488190,Other Support Activities for Air Transportation
755,488210,Support Activities for Rail Transportation,No Change,488210,Support Activities for Rail Transportation
756,488310,Port and Harbor Operations,No Change,488310,Port and Harbor Operations
757,488320,Marine Cargo Handling,No Change,488320,Marine Cargo Handling
758,488330,Navigational Services to Shipping ,No Change,488330,Navigational Services to Shipping 
759,488390,Other Support Activities for Water Transportation,No Change,488390,Other Support Activities for Water Transportation
760,488410,Motor Vehicle Towing,No Change,488410,Motor Vehicle Towing
761,488490,Other Support Activities for Road Transportation ,No Change,488490,Other Support Activities for Road Transportation 
762,488510,Freight Transportation Arrangement ,No Change,488510,Freight Transportation Arrangement 
763,488991,Packing and Crating ,No Change,488991,Packing and Crating 
764,488999,All Other Support Activities for Transportation ,No Change,488999,All Other Support Activities for Transportation 
765,491110,Postal Service,No Change,491110,Postal Service
766,492110,Couriers and Express Delivery Services,No Change,492110,Couriers and Express Delivery Services
767,492210,Local Messengers and Local Delivery,No Change,492210,Local Messengers and Local Delivery
768,493110,General Warehousing and Storage ,No Change,493110,General Warehousing and Storage 
769,493120,Refrigerated Warehousing and Storage,No Change,493120,Refrigerated Warehousing and Storage
770,493130,Farm Product Warehousing and Storage,No Change,493130,Farm Product Warehousing and Storage
771,493190,Other Warehousing and Storage,No Change,493190,Other Warehousing and Storage
714,459999,All Other Miscellaneous Retailers ,New NAICS Code,454390,Other Direct Selling Establishments 
782,513110,Newspaper Publishers ,New NAICS Code,511110,Newspaper Publishers 
783,513110,Newspaper Publishers ,New NAICS Code,519130,Internet Publishing and Broadcasting and Web Search Portals
784,513120,Periodical Publishers ,New NAICS Code,511120,Periodical Publishers 
785,513120,Periodical Publishers ,New NAICS Code,519130,Internet Publishing and Broadcasting and Web Search Portals
786,513130,Book Publishers ,New NAICS Code,511130,Book Publishers 
787,513130,Book Publishers ,New NAICS Code,519130,Internet Publishing and Broadcasting and Web Search Portals
772,512110,Motion Picture and Video Production ,No Change,512110,Motion Picture and Video Production 
773,512120,Motion Picture and Video Distribution,No Change,512120,Motion Picture and Video Distribution
774,512131,Motion Picture Theaters (except Drive-Ins) ,No Change,512131,Motion Picture Theaters (except Drive-Ins) 
775,512132,Drive-In Motion Picture Theaters ,No Change,512132,Drive-In Motion Picture Theaters 
776,512191,Teleproduction and Other Postproduction Services ,No Change,512191,Teleproduction and Other Postproduction Services 
777,512199,Other Motion Picture and Video Industries ,No Change,512199,Other Motion Picture and Video Industries 
778,512230,Music Publishers,No Change,512230,Music Publishers
779,512240,Sound Recording Studios,No Change,512240,Sound Recording Studios
780,512250,Record Production and Distribution,No Change,512250,Record Production and Distribution
781,512290,Other Sound Recording Industries,No Change,512290,Other Sound Recording Industries
788,513140,Directory and Mailing List Publishers ,New NAICS Code,511140,Directory and Mailing List Publishers 
789,513191,Greeting Card Publishers ,New NAICS Code,511191,Greeting Card Publishers 
791,513199,All Other Publishers ,New NAICS Code,511199,All Other Publishers 
790,513199,All Other Publishers ,New NAICS Code,519130,Internet Publishing and Broadcasting and Web Search Portals
792,513210,Software Publishers,New NAICS Code,511210,Software Publishers
793,516110,Radio Broadcasting Stations ,New NAICS Code,515112,Radio Stations 
794,516120,Television Broadcasting Stations ,New NAICS Code,515120,Television Broadcasting
802,517410,Satellite Telecommunications,No Change,517410,Satellite Telecommunications
795,516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",New NAICS Code,515111,Radio Networks 
796,516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",New NAICS Code,515210,Cable and Other Subscription Programming
804,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","Same Code, new title",518210,"Data Processing, Hosting, and Related Services"
797,516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",New NAICS Code,519110,News Syndicates
798,517111,Wired Telecommunications Carriers ,New NAICS Code,517311,Wired Telecommunications Carriers 
799,517112,Wireless Telecommunications Carriers (except Satellite),New NAICS Code,517312,Wireless Telecommunications Carriers (except Satellite)
800,517121,Telecommunications Resellers,New NAICS Code,517911,Telecommunications Resellers 
801,517122,Agents for Wireless Telecommunications Services,New NAICS Code,517311,Wired Telecommunications Carriers 
803,517810,All Other Telecommunications ,New NAICS Code,517919,All Other Telecommunications 
805,519210,Libraries and Archives ,New NAICS Code,519120,Libraries and Archives 
807,521110,Monetary Authorities-Central Bank,No Change,521110,Monetary Authorities-Central Bank
808,522110,Commercial Banking ,No Change,522110,Commercial Banking 
806,519290,Web Search Portals and All Other Information Services,New NAICS Code,519190,All Other Information Services
809,522130,Credit Unions ,No Change,522130,Credit Unions 
811,522180,Savings Institutions and Other Depository Credit Intermediation ,New NAICS Code,522120,Savings Institutions 
812,522210,Credit Card Issuing ,No Change,522210,Credit Card Issuing 
813,522220,Sales Financing ,No Change,522220,Sales Financing 
814,522291,Consumer Lending ,No Change,522291,Consumer Lending 
815,522292,Real Estate Credit ,No Change,522292,Real Estate Credit 
810,522180,Savings Institutions and Other Depository Credit Intermediation ,New NAICS Code,522190,Other Depository Credit Intermediation 
816,522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation ",New NAICS Code,522293,International Trade Financing 
817,522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation ",New NAICS Code,522294,Secondary Market Financing 
819,522310,Mortgage and Nonmortgage Loan Brokers ,No Change,522310,Mortgage and Nonmortgage Loan Brokers 
820,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities ",No Change,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities "
821,522390,Other Activities Related to Credit Intermediation ,No Change,522390,Other Activities Related to Credit Intermediation 
818,522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation ",New NAICS Code,522298,All Other Nondepository Credit Intermediation 
822,523150,Investment Banking and Securities Intermediation ,New NAICS Code,523110,Investment Banking and Securities Dealing 
823,523150,Investment Banking and Securities Intermediation ,New NAICS Code,523120,Securities Brokerage 
824,523160,Commodity Contracts Intermediation ,New NAICS Code,523130,Commodity Contracts Dealing 
826,523210,Securities and Commodity Exchanges,No Change,523210,Securities and Commodity Exchanges
827,523910,Miscellaneous Intermediation ,No Change,523910,Miscellaneous Intermediation 
825,523160,Commodity Contracts Intermediation ,New NAICS Code,523140,Commodity Contracts Brokerage 
828,523940,Portfolio Management and Investment Advice ,New NAICS Code,523920,Portfolio Management 
830,523991,"Trust, Fiduciary, and Custody Activities ",No Change,523991,"Trust, Fiduciary, and Custody Activities "
831,523999,Miscellaneous Financial Investment Activities ,No Change,523999,Miscellaneous Financial Investment Activities 
832,524113,Direct Life Insurance Carriers ,No Change,524113,Direct Life Insurance Carriers 
833,524114,Direct Health and Medical Insurance Carriers ,No Change,524114,Direct Health and Medical Insurance Carriers 
834,524126,Direct Property and Casualty Insurance Carriers ,No Change,524126,Direct Property and Casualty Insurance Carriers 
835,524127,Direct Title Insurance Carriers ,No Change,524127,Direct Title Insurance Carriers 
836,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers ",No Change,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers "
837,524130,Reinsurance Carriers ,No Change,524130,Reinsurance Carriers 
838,524210,Insurance Agencies and Brokerages ,No Change,524210,Insurance Agencies and Brokerages 
839,524291,Claims Adjusting ,No Change,524291,Claims Adjusting 
840,524292,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds ,"Same Code, new title",524292,Third Party Administration of Insurance and Pension Funds 
841,524298,All Other Insurance Related Activities ,No Change,524298,All Other Insurance Related Activities 
842,525110,Pension Funds ,No Change,525110,Pension Funds 
843,525120,Health and Welfare Funds ,No Change,525120,Health and Welfare Funds 
844,525190,Other Insurance Funds ,No Change,525190,Other Insurance Funds 
